first_name,last_name,price,above_100
Nayeli,Little,45.24,False
Isaias,Gaines,40.49,False
Austin,George,73.79,False
Francisco,Murillo,16.03,False
Alan,Maddox,30.88,False
Ryleigh,Day,10.13,False
Coby,Alexander,4.25,False
Taniya,Tapia,57.97,False
Alfonso,Hodges,7.75,False
Jacoby,Stuart,53.4,False
Kymani,Hickman,15.63,False
Albert,Boyle,23.71,False
Adalyn,Cowan,49.22,False
Samara,Cline,7.17,False
Jovani,Anderson,60.14,False
Talon,Ryan,50.69,False
Darrell,Cantu,97.29,False
Sanai,Huerta,32.6,False
Scott,Lawson,4.68,False
Dayanara,Hudson,10.65,False
Chad,Larson,55.83,False
Kristin,Eaton,51.01,False
Averie,Swanson,98.36,False
Levi,Sampson,20.88,False
Rihanna,Bolton,95.45,False
Mario,Shah,96.87,False
Destiney,Kerr,15.39,False
Jakayla,Boyer,25.67,False
Katherine,Lowery,62.63,False
Serena,Haley,42.27,False
Sheldon,Keith,92.28,False
Jaydon,Valencia,46.21,False
Lana,Meza,0.28,False
Alexus,Christian,40.62,False
Rocco,Whitehead,36.52,False
Jorge,Bryan,49.88,False
Eric,Cunningham,94.25,False
Adalynn,Ruiz,15.77,False
Ahmed,Blanchard,15.27,False
Camilla,Murray,96.97,False
Dillan,Zavala,23.08,False
Lee,Avery,72.62,False
Camron,Luna,59.17,False
Antony,Woodard,23.06,False
Charity,Lara,45.41,False
Rebekah,Graham,69.24,False
Journey,Woodard,27.61,False
Dexter,Hale,45.76,False
Damaris,Herman,48.53,False
Elyse,Kent,18.74,False
Noah,Ponce,17.73,False
Jermaine,Lester,22.47,False
Korbin,Miles,33.78,False
Graham,Blair,57.92,False
Alexander,Watson,68.53,False
Jewel,Castro,47.75,False
Jonathan,Bridges,99.4,False
Marisol,Warren,38.2,False
Akira,Ho,84.43,False
Jessica,Bradley,16.42,False
Rashad,Navarro,25.18,False
Braelyn,Reeves,47.78,False
Damarion,Allen,90.98,False
Lailah,Richmond,28.97,False
Cora,Lynn,42.77,False
Dahlia,Hutchinson,22.72,False
Johnathan,Barnett,9.87,False
Jayce,Waters,14.87,False
Amaya,Bradley,55.05,False
Shane,Yates,98.19,False
Heidy,Goodwin,73.64,False
Aliza,Berry,82.73,False
Jessica,Chang,57.77,False
Sara,Duarte,28.25,False
Rylee,Newman,63.08,False
Harrison,Middleton,71.66,False
Maximo,French,14.34,False
Mina,Chambers,54.92,False
Ali,Massey,67.89,False
Marlene,Mercer,74.57,False
Bruce,Marquez,94.86,False
Clare,Webster,52.48,False
Elias,Proctor,91.13,False
Timothy,Lutz,25.47,False
Alanna,Lowe,14.44,False
Asher,Guerra,11.16,False
Caden,Leon,31.41,False
Abbigail,Suarez,30.9,False
Alani,Berger,93.09,False
Laylah,Sexton,66.23,False
Macie,Gentry,39.69,False
Alyvia,Guzman,90.09,False
Lilyana,Reid,33.91,False
Graham,Valenzuela,99.67,False
Cortez,Jefferson,91.32,False
Makai,Mata,95.85,False
Noel,Clay,84.98,False
Samson,Weiss,2.38,False
Tiana,Cabrera,21.42,False
Jaylyn,Li,88.66,False
Jaylen,Oneill,51.23,False
Anahi,Rich,63.18,False
Reese,Kennedy,6.24,False
Landyn,Douglas,35.2,False
Gisselle,Huffman,19.06,False
Darien,Hodges,5.42,False
Dashawn,Livingston,2.87,False
Jefferson,Walton,39.57,False
Maeve,Christensen,86.81,False
Areli,Mendez,80.4,False
Zechariah,Hodges,51.47,False
Anastasia,Daniels,91.82,False
Madilynn,Friedman,24.12,False
Case,Dillon,35.54,False
Guillermo,Campbell,84.27,False
Muhammad,Hancock,35.93,False
Aliana,Oneill,86.09,False
Derek,Bradford,75.13,False
Lorelai,Pineda,74.0,False
Denzel,Galvan,24.65,False
Heaven,Huynh,53.71,False
Tamara,Kidd,39.49,False
Niko,Rivers,28.68,False
Madilyn,Irwin,73.49,False
Tamara,Mullins,34.91,False
Casey,Mcgrath,52.36,False
Harley,Hatfield,21.89,False
Athena,Valentine,70.47,False
Howard,Mooney,9.44,False
Rhys,Crawford,97.07,False
Darrell,Ward,23.47,False
Wendy,Mora,31.91,False
Mattie,Chen,29.41,False
Paisley,Frey,4.61,False
Alejandra,Crane,62.62,False
Emilio,Jensen,46.82,False
Bronson,Cantrell,68.29,False
Kelvin,Schroeder,76.86,False
Conrad,Cochran,46.14,False
Janelle,Patel,45.95,False
Pamela,Shields,32.53,False
Madilyn,Hurst,71.34,False
Stacy,Fischer,79.46,False
Alejandro,Cook,13.68,False
Ali,Dillon,35.32,False
Evan,Wong,50.71,False
Oscar,Dyer,9.31,False
Coleman,Everett,33.07,False
Dayton,Berry,77.75,False
Eva,Hart,97.7,False
Sage,Casey,21.91,False
Triston,Montgomery,59.27,False
Augustus,Steele,61.68,False
Nick,Oliver,32.37,False
Gaven,Dudley,38.89,False
Hazel,Maynard,97.4,False
Luca,Wise,12.76,False
Lilianna,Mccullough,10.54,False
Kara,Sheppard,38.04,False
Kassidy,Johnston,46.64,False
Jacey,Mckay,92.1,False
Julianne,Rocha,56.47,False
Madilyn,Morgan,62.97,False
Draven,Lucero,55.83,False
Ian,Greer,27.36,False
Kailey,Lawson,6.87,False
Lucille,Ramos,33.41,False
Natalia,Adams,69.81,False
Arturo,Gallegos,24.08,False
Isabell,Rowland,83.61,False
Violet,Acevedo,48.88,False
Kobe,Cameron,42.79,False
Draven,Rasmussen,86.68,False
Milton,Moreno,12.82,False
Greta,Romero,63.86,False
Moshe,Kaufman,52.9,False
Brennan,Rodgers,78.35,False
Amber,Rivas,8.51,False
Mathias,Cochran,74.07,False
Estrella,Jordan,79.24,False
Ryan,Sawyer,33.79,False
Arianna,Barber,31.85,False
Nickolas,Underwood,75.65,False
Marley,Cervantes,20.7,False
Lennon,Burke,45.28,False
Peter,Mosley,35.87,False
Sage,Melton,23.22,False
Aleah,Webster,12.21,False
Destinee,Stuart,23.63,False
Kinsley,Chapman,81.08,False
Brynlee,Morrison,15.75,False
Yadiel,Bright,58.76,False
Akira,Montes,37.96,False
Lexi,Buckley,52.75,False
Susan,White,53.19,False
Isai,Knight,62.62,False
Maliyah,Stark,94.36,False
Talon,Mitchell,31.65,False
Josephine,Bonilla,67.38,False
Kimberly,Krause,75.68,False
Aydin,Mullins,52.22,False
Amiya,Hinton,23.56,False
Giselle,Munoz,60.24,False
Jimena,Dorsey,97.29,False
Charlize,Raymond,82.61,False
Ivan,Barton,15.86,False
Reed,Mcdonald,48.39,False
Sofia,Stephenson,21.73,False
Lauryn,Daugherty,74.36,False
Cael,Burgess,8.47,False
Brogan,Moon,48.72,False
Marcos,Durham,45.11,False
Kaydence,Watkins,20.17,False
German,Peters,80.6,False
Frank,Pittman,56.6,False
Adriel,Kelley,45.03,False
Lauryn,Pearson,44.88,False
Charlie,Phillips,33.41,False
Hunter,Leon,68.31,False
Keely,Holden,86.22,False
Mireya,Krause,25.72,False
Triston,Lambert,52.71,False
Darius,Holder,92.83,False
Damari,Luna,93.76,False
Desirae,Strickland,29.55,False
Marlee,Morrow,73.52,False
Brendan,Black,95.96,False
Trystan,Galloway,46.46,False
Madilynn,Petty,92.57,False
Pedro,Shepard,52.41,False
Malachi,Walters,30.64,False
Kamila,Calderon,3.32,False
Holly,Douglas,69.77,False
Ellis,Barron,37.76,False
Zoie,Avery,18.79,False
Lorenzo,Rivers,61.65,False
Enzo,Duncan,8.93,False
Gary,Alexander,4.55,False
Zavier,Swanson,56.56,False
Hayden,Mercer,46.14,False
Mikaela,Christian,19.32,False
Lyric,Mclean,99.23,False
Rodolfo,Johnston,25.15,False
Phoebe,Gonzalez,48.54,False
Nicolas,Porter,76.36,False
Allan,Young,47.2,False
Harold,Jefferson,75.78,False
Tanya,Cochran,69.77,False
Uriel,Frederick,97.36,False
Jaylin,Colon,25.81,False
Curtis,Vang,63.37,False
Shane,Coffey,22.3,False
Weston,Marks,69.52,False
Kristian,Bond,51.93,False
